gene.ids,SRX003935,SRX003921,SRX003924,SRX003923,SRX003925,SRX003932,SRX003920,SRX003922,SRX001291,SRX001364,SRX001365,SRX001366,SRX001367,SRX001368,SRX003931,SRX003929,SRX003928,SRX003934,SRX003926,SRX003927,SRX003930,SRX003933
ENSG00000001036,33,13,125,88,28,132,39,58,9,3,15,15,7,9,74,52,85,77,15,114,20,121
ENSG00000001167,339,269,404,253,152,144,73,58,30,35,127,117,185,151,88,40,36,166,43,108,70,279
ENSG00000001561,18,1,0,29,38,112,339,44,24,16,53,55,77,52,68,136,52,86,134,16,144,111
ENSG00000002330,118,59,60,29,73,107,20,80,13,7,52,35,66,47,200,41,13,94,13,16,38,157
ENSG00000002834,2725,87,124,62,312,145,48,101,12,10,39,45,36,45,56,25,30,89,25,41,16,66
ENSG00000002919,88,91,140,265,187,176,119,128,64,62,189,213,210,153,170,71,86,250,97,96,79,307
ENSG00000003056,876,863,2393,739,226,819,578,389,155,127,551,374,560,523,976,506,434,1428,257,704,547,1352
ENSG00000003249,524,93,514,1085,507,37,661,115,237,165,802,542,806,712,105,40,8,93,231,158,120,128
ENSG00000003989,179,2,11,766,0,261,14,49,1,0,6,1,2,7,124,92,192,151,19,96,693,191
ENSG00000004478,1770,749,1005,1113,4744,623,749,260,771,672,1691,1691,1521,1687,2977,232,595,1867,536,918,1542,2328
ENSG00000004660,78,33,102,18,38,45,405,25,137,141,322,455,566,339,51,19,1,76,148,21,24,87
ENSG00000004700,55,118,232,38,92,110,34,48,15,12,29,28,39,59,66,82,24,148,28,132,67,68
ENSG00000004776,3,0,6,5,3,6667,117,7607,12,12,31,44,56,34,10069,2776,73,1474,43,51,6258,6476
ENSG00000004779,258,194,508,322,376,180,292,202,147,134,328,340,297,353,293,908,441,212,189,269,317,405
ENSG00000004848,61,1,2,23,16,0,189,14,0,1,0,0,1,1,1,0,0,14,46,0,174,874
ENSG00000004897,86,124,125,127,170,163,264,76,68,52,153,141,101,151,74,121,115,112,122,135,158,276
ENSG00000004961,263,156,473,98,167,139,91,63,27,17,76,52,70,92,173,186,106,101,34,109,151,177
ENSG00000004975,651,681,1466,782,547,976,197,398,220,184,877,760,980,925,1117,178,98,1029,133,377,499,2078
ENSG00000005001,326,121,1,348,410,0,0,21,28,20,120,60,117,118,5,0,4,1,5,9,0,11
ENSG00000005007,1039,1430,1152,965,773,1970,435,456,338,300,1276,1105,1879,1200,1075,254,299,1933,273,325,810,2743
